Restaurant Name,Location,Foods,Keywords,Comments,,,,,,,,,,,,,,,
The Lagoon,"6.920303878584742, 79.84989129862907",Hot Butter Cuttlefish,"Hot Butter Cuttlefish, Cuttlefish, Butter, Hot",That hot butter cuttlefish dish is very nice option to try.It's so good.,,,,,,,,,,,,,,,
The Lagoon,"6.920303878584742, 79.84989129862907",Jumbo Prawns,"Jumbo Prawns, Prawns, Jumbo","From prawns that danced on my tongue to fish so fresh it swam free in my mind, this place reeled me in. Crabs cracked & lobsters steamed, all perfection. A feast for the sense",,,,,,,,,,,,,,,
The Lagoon,"6.920303878584742, 79.84989129862907",Sushi,"Sushi, sushi, sooshi ",The sushi was rubbish with overcooked rice.,,,,,,,,,,,,,,,
Hotel De Pilawoos,"6.897577395171475, 79.85484131910854",Masala Kottu,"kottu, kothtu, kotthu, kottu roti, Kottu, KOTTU, Masala Kottu, Masala koththu, Masala","When we went in, no body will ask what we need. We went to the counter and ordered Masala Kottu, which they are famous. It was extremely spice we could not eat",,,,,,,,,,,,,,,.
Hotel De Pilawoos,"6.897577395171475, 79.85484131910854",Egg Kottu,"kottu, kothtu, kotthu, kottu roti, Kottu, KOTTU, KOTHTHU, egg, Egg, Egg Koththu, Egg kottu","For a 1st time trial, we really didn't like it much , the taste was too pungent, The service was good and staffs are friendly but food quality was a question.",,,,,,,,,,,,,,,
Hotel De Pilawoos,"6.897577395171475, 79.85484131910854",Biriyani,"Buriyani, Biriyani, biriani, biriyani","the place is unbeatable for it's biriyani. A generous portion of juicy chicken or whatever meat one prefers, a hard boiled egg and several spicy sambals accompany a huge portion of the spicy rice.",,,,,,,,,,,,,,,
Hotel De Pilawoos,"6.897577395171475, 79.85484131910854",Roti and Dhal curry,"Dhal curry, Roti and Dhal curry, Roti Dhal curry, Dhal curri, Dhal Curry",That everything tasted great and the service was helpful and friendly,,,,,,,,,,,,,,,
Hotel De Pilawoos,"6.897577395171475, 79.85484131910854",Milk Tea,"Milk, Tea, Milk Tea, tea",The milk coffee especially tasted amazing. Prices were very reasonable although do be aware that they asked us for a tip when we were leaving,,,,,,,,,,,,,,,
Hotel De Pilawoos,"6.897577395171475, 79.85484131910854",Avacado Juice,"Avacado Juice, Juice, Avacado, jus",We loved its avocado juice. Well blended,,,,,,,,,,,,,,,
Monsoon Colombo,"6.918444245505873, 79.85869239294959",Mango Sticky Rice,"Rice, Mango Rice, Mango Sticky Rice",The mango sticky rice was a letdown.The mago wasn't ripe and sweet.,,,,,,,,,,,,,,,
Monsoon Colombo,"6.918444245505873, 79.85869239294959",Seafood,"Seafood, Seafood, Sambol, Seafood",They cook seafood really well. The prawns and crispy squid were so tender.,,,,,,,,,,,,,,,
Monsoon Colombo,"6.918444245505873, 79.85869239294959",Milo ice cream,"Milo ice cream, Cream, Sambol, ice cream",It's iconic. So creamy and milo-y. 600 or so for 2 scoops +some milo powder. I split it with my partner. Worth it.,,,,,,,,,,,,,,,
Monsoon Colombo,"6.918444245505873, 79.85869239294959",Vegetarian rice paper roll,"Vegetarian rice paper roll, Roll, Sambol, Vegetarian, paper roll",it was good but the hoisin sauce was mixed with soy sauce so was salty.,,,,,,,,,,,,,,,
Monsoon Colombo,"6.918444245505873, 79.85869239294959",Papaya Salad,"Papaya Salad, Salad, Sambol, papaya Salad","The dishes we got were all very good, the only disappointment was the papaya salad. It was very SWEET :-O ! I have eaten in many Thai restaurants and have never had sweet papaya salad.",,,,,,,,,,,,,,,
Monsoon Colombo,"6.918444245505873, 79.85869239294959",Pineapple Magarita,"Magarita, Pineapple, Pineapple Magarita","The cocktails were great - recommend the chilli pineapple Margarita, and the Gimlet. ",,,,,,,,,,,,,,,
Indian Summer Restaurant,"6.912738418577268, 79.8541820155159",Mutton Curry,"Mutton, Mutton Curry",Chef's special mutton curry is highly recommended. Literally melts in your mouth.,,,,,,,,,,,,,,,
Indian Summer Restaurant,"6.912738418577268, 79.8541820155159",Pistachio Kulfi,"Pistachio Kulfi, kulfi pistachio","I love their Pistachio Kulfi, which was an amazing.",,,,,,,,,,,,,,,
Indian Summer Restaurant,"6.912738418577268, 79.8541820155159",Butter Naan,"naan, Butter Naan, butter",the naan was the best from everything everything. Naan with that butter just melt down in your mouth. Really enjoyed the food.,,,,,,,,,,,,,,,
Indian Summer Restaurant,"6.912738418577268, 79.8541820155159",Dum- Biriyani,"Dum, Dum biriyani",  Heavily disappointed by the amount of chicken that was in the Dum- Biriyani.Sadly they ve reduced the amount of chicken pieces and increased the prices as well.,,,,,,,,,,,,,,,
Indian Summer Restaurant,"6.912738418577268, 79.8541820155159",Chicken Biriyani,"chicken, chicken biryani",Specially chicken biryani is good with authentic biriyani flavor and also comes with good moisture.,,,,,,,,,,,,,,,
Indian Summer Restaurant,"6.912738418577268, 79.8541820155159",Pani Puri,"Pani, Pani puri, puri",Tried Pani Puri but it is comparatively an average snack here in terms of taste and the presentation. It is not that crispy. ,,,,,,,,,,,,,,,
Indian Summer Restaurant,"6.912738418577268, 79.8541820155159",Brownies,"Brownies, Brownies, brownies",Their brownies taste just no where less than perfect!,,,,,,,,,,,,,,,
Indian Summer Restaurant,"6.912738418577268, 79.8541820155159",Fish Biriyani,"Fish, Fish biriyani, fish biriani",It was excellent..the fish was crispy and it went well with the Biriyani rice which was also really tasty.,,,,,,,,,,,,,,,
Palmyrah Restaurant,"6.911921541358405, 79.85039971705802",Egg Hoppers,"Egg hoppers, Egg, hoppers, Hoppers","Had Thalapath Fish curry with egg hoppers. Tasty, wholesome and surprisingly was suffient for me alone. Found some sweetness in their hoppers, which is why it tastes good.",,,,,,,,,,,,,,,
Palmyrah Restaurant,"6.911921541358405, 79.85039971705802",Rice and Curry,"rice, rice and curry, Rice, Curry with rice, Curry, bath","There is a superb selection of rice, curries, sambols and of course appetizers.  In addition, there are mouthwatering desserts.",,,,,,,,,,,,,,,
Palmyrah Restaurant,"6.911921541358405, 79.85039971705802",Crab Curry,"Crab Curry, Crab, CRAB"," I was quite disappointed with the crab curry I ordered. It seemed more like crab soup, with tiny minced crab pieces, and the taste left much to be desired. Nothing even close to the great Jaffna crab curry taste.",,,,,,,,,,,,,,,
Palmyrah Restaurant,"6.911921541358405, 79.85039971705802",Milk Hoppers,"Milk Hoppers, Hopers, hoppers",The jaggery and milk hoppers were out of this world.Iy was so good.,,,,,,,,,,,,,,,
Palmyrah Restaurant,"6.911921541358405, 79.85039971705802",Rasam Soup,"Rasam Soup,  Rasam, Soup",Their complimentary papadam and delightful rasam soup set the stage for a remarkable dining experience.,,,,,,,,,,,,,,,
